구분,그룹,고민유형,비율
연령별,40대,공부,1.7
연령별,50대,공부,0.8
연령별,60대 이상,공부,0.4
학력별,중졸 이하,공부,5.2
학력별,고졸 이하,공부,9.0
학력별,대졸 이하,공부,5.7
학력별,대학원 이상,공부,2.1
소득별,100 만원 미만,공부,3.9
소득별,100-200만 미만,공부,5.1
소득별,200-300만 미만,공부,4.6
소득별,300-400만 미만,공부,6.5
소득별,400-500만 미만,공부,8.7
소득별,500만 이상,공부,8.2
혼인상태별,기혼,공부,1.0
혼인상태별,미혼,공부,22.2
혼인상태별,이혼/별거,공부,0.7
혼인상태별,사별,공부,0.6
지역대분류,도심권,공부,6.5
지역대분류,동북권,공부,7.1
지역대분류,서북권,공부,5.7
지역대분류,서남권,공부,6.0
지역대분류,동남권,공부,8.1
지역소분류,종로구,공부,8.2
지역소분류,중구,공부,6.4
지역소분류,용산구,공부,5.2
지역소분류,성동구,공부,4.1
지역소분류,광진구,공부,6.0
지역소분류,동대문구,공부,8.2
지역소분류,중랑구,공부,6.3
지역소분류,성북구,공부,9.1
지역소분류,강북구,공부,4.3
지역소분류,도봉구,공부,8.3
지역소분류,노원구,공부,8.4
지역소분류,은평구,공부,4.2
지역소분류,서대문구,공부,7.3
지역소분류,마포구,공부,6.4
지역소분류,양천구,공부,8.9
지역소분류,강서구,공부,5.7
지역소분류,구로구,공부,4.4
지역소분류,금천구,공부,8.8
지역소분류,영등포구,공부,6.8
지역소분류,동작구,공부,3.7
지역소분류,관악구,공부,4.5
지역소분류,서초구,공부,5.6
지역소분류,강남구,공부,8.9
지역소분류,송파구,공부,8.3
지역소분류,강동구,공부,9.2
서울시,소계,진학 취업 은퇴 등 진로선택,5.7
성별,남자,진학 취업 은퇴 등 진로선택,6.5
성별,여자,진학 취업 은퇴 등 진로선택,4.9
연령별,10대,진학 취업 은퇴 등 진로선택,15.9
연령별,20대,진학 취업 은퇴 등 진로선택,18.2
연령별,30대,진학 취업 은퇴 등 진로선택,2.9
연령별,40대,진학 취업 은퇴 등 진로선택,2.2
연령별,50대,진학 취업 은퇴 등 진로선택,2.1
연령별,60대 이상,진학 취업 은퇴 등 진로선택,0.3
학력별,중졸 이하,진학 취업 은퇴 등 진로선택,1.0
학력별,고졸 이하,진학 취업 은퇴 등 진로선택,4.1
학력별,대졸 이하,진학 취업 은퇴 등 진로선택,8.3
학력별,대학원 이상,진학 취업 은퇴 등 진로선택,6.5
소득별,100 만원 미만,진학 취업 은퇴 등 진로선택,6.6
소득별,100-200만 미만,진학 취업 은퇴 등 진로선택,5.6
소득별,200-300만 미만,진학 취업 은퇴 등 진로선택,4.7
소득별,300-400만 미만,진학 취업 은퇴 등 진로선택,4.4
소득별,400-500만 미만,진학 취업 은퇴 등 진로선택,5.7
소득별,500만 이상,진학 취업 은퇴 등 진로선택,7.4
혼인상태별,기혼,진학 취업 은퇴 등 진로선택,1.8
혼인상태별,미혼,진학 취업 은퇴 등 진로선택,16.4
혼인상태별,이혼/별거,진학 취업 은퇴 등 진로선택,1.5
혼인상태별,사별,진학 취업 은퇴 등 진로선택,0.4
지역대분류,도심권,진학 취업 은퇴 등 진로선택,4.8
지역대분류,동북권,진학 취업 은퇴 등 진로선택,5.1
지역대분류,서북권,진학 취업 은퇴 등 진로선택,4.9
지역대분류,서남권,진학 취업 은퇴 등 진로선택,7.3
지역대분류,동남권,진학 취업 은퇴 등 진로선택,4.9
지역소분류,종로구,진학 취업 은퇴 등 진로선택,4.6
지역소분류,중구,진학 취업 은퇴 등 진로선택,9.1
지역소분류,용산구,진학 취업 은퇴 등 진로선택,2.6
지역소분류,성동구,진학 취업 은퇴 등 진로선택,7.3
지역소분류,광진구,진학 취업 은퇴 등 진로선택,4.5
지역소분류,동대문구,진학 취업 은퇴 등 진로선택,4.5
지역소분류,중랑구,진학 취업 은퇴 등 진로선택,2.5
지역소분류,성북구,진학 취업 은퇴 등 진로선택,3.3
지역소분류,강북구,진학 취업 은퇴 등 진로선택,6.3
지역소분류,도봉구,진학 취업 은퇴 등 진로선택,6.4
지역소분류,노원구,진학 취업 은퇴 등 진로선택,6.7
지역소분류,은평구,진학 취업 은퇴 등 진로선택,6.0
지역소분류,서대문구,진학 취업 은퇴 등 진로선택,1.7
지역소분류,마포구,진학 취업 은퇴 등 진로선택,6.1
지역소분류,양천구,진학 취업 은퇴 등 진로선택,8.4
지역소분류,강서구,진학 취업 은퇴 등 진로선택,10.1
지역소분류,구로구,진학 취업 은퇴 등 진로선택,3.8
지역소분류,금천구,진학 취업 은퇴 등 진로선택,5.3
지역소분류,영등포구,진학 취업 은퇴 등 진로선택,4.4
지역소분류,동작구,진학 취업 은퇴 등 진로선택,7.0
지역소분류,관악구,진학 취업 은퇴 등 진로선택,9.6
지역소분류,서초구,진학 취업 은퇴 등 진로선택,5.4
지역소분류,강남구,진학 취업 은퇴 등 진로선택,6.7
지역소분류,송파구,진학 취업 은퇴 등 진로선택,5.3
지역소분류,강동구,진학 취업 은퇴 등 진로선택,1.9
서울시,소계,본인 및 가족의 결혼,4.3
성별,남자,본인 및 가족의 결혼,4.3
성별,여자,본인 및 가족의 결혼,4.2
연령별,10대,본인 및 가족의 결혼,0.6
연령별,20대,본인 및 가족의 결혼,6.8
연령별,30대,본인 및 가족의 결혼,8.7
연령별,40대,본인 및 가족의 결혼,1.7
연령별,50대,본인 및 가족의 결혼,3.3
연령별,60대 이상,본인 및 가족의 결혼,2.1
학력별,중졸 이하,본인 및 가족의 결혼,1.6
학력별,고졸 이하,본인 및 가족의 결혼,3.1
학력별,대졸 이하,본인 및 가족의 결혼,5.9
학력별,대학원 이상,본인 및 가족의 결혼,4.1
소득별,100 만원 미만,본인 및 가족의 결혼,0.4
소득별,100-200만 미만,본인 및 가족의 결혼,3.4
소득별,200-300만 미만,본인 및 가족의 결혼,5.4
소득별,300-400만 미만,본인 및 가족의 결혼,4.2
소득별,400-500만 미만,본인 및 가족의 결혼,4.0
소득별,500만 이상,본인 및 가족의 결혼,4.7
혼인상태별,기혼,본인 및 가족의 결혼,1.7
혼인상태별,미혼,본인 및 가족의 결혼,10.7
혼인상태별,이혼/별거,본인 및 가족의 결혼,3.9
혼인상태별,사별,본인 및 가족의 결혼,1.5
지역대분류,도심권,본인 및 가족의 결혼,4.0
지역대분류,동북권,본인 및 가족의 결혼,3.9
지역대분류,서북권,본인 및 가족의 결혼,5.1
지역대분류,서남권,본인 및 가족의 결혼,4.8
지역대분류,동남권,본인 및 가족의 결혼,3.6
지역소분류,종로구,본인 및 가족의 결혼,3.7
지역소분류,중구,본인 및 가족의 결혼,5.6
지역소분류,용산구,본인 및 가족의 결혼,3.3
지역소분류,성동구,본인 및 가족의 결혼,3.9
지역소분류,광진구,본인 및 가족의 결혼,4.5
지역소분류,동대문구,본인 및 가족의 결혼,4.5
지역소분류,중랑구,본인 및 가족의 결혼,3.4
지역소분류,성북구,본인 및 가족의 결혼,6.3
지역소분류,강북구,본인 및 가족의 결혼,3.5
지역소분류,도봉구,본인 및 가족의 결혼,2.8
지역소분류,노원구,본인 및 가족의 결혼,2.5
지역소분류,은평구,본인 및 가족의 결혼,5.0
지역소분류,서대문구,본인 및 가족의 결혼,5.4
지역소분류,마포구,본인 및 가족의 결혼,5.0
지역소분류,양천구,본인 및 가족의 결혼,7.8
지역소분류,강서구,본인 및 가족의 결혼,2.9
지역소분류,구로구,본인 및 가족의 결혼,3.8
지역소분류,금천구,본인 및 가족의 결혼,4.7
지역소분류,영등포구,본인 및 가족의 결혼,6.7
지역소분류,동작구,본인 및 가족의 결혼,3.2
지역소분류,관악구,본인 및 가족의 결혼,4.9
지역소분류,서초구,본인 및 가족의 결혼,3.0
지역소분류,강남구,본인 및 가족의 결혼,4.3
지역소분류,송파구,본인 및 가족의 결혼,3.9
지역소분류,강동구,본인 및 가족의 결혼,3.0
서울시,소계,자기개발,3.5
성별,남자,자기개발,4.2
성별,여자,자기개발,2.7
연령별,10대,자기개발,2.7
연령별,20대,자기개발,9.6
연령별,30대,자기개발,4.8
연령별,40대,자기개발,1.8
연령별,50대,자기개발,1.2
연령별,60대 이상,자기개발,0.6
학력별,중졸 이하,자기개발,0.7
학력별,고졸 이하,자기개발,1.9
학력별,대졸 이하,자기개발,5.4
학력별,대학원 이상,자기개발,6.2
소득별,100 만원 미만,자기개발,0.2
소득별,100-200만 미만,자기개발,1.8
소득별,200-300만 미만,자기개발,3.4
소득별,300-400만 미만,자기개발,3.6
소득별,400-500만 미만,자기개발,3.6
소득별,500만 이상,자기개발,4.4
혼인상태별,기혼,자기개발,2.5
혼인상태별,미혼,자기개발,6.4
혼인상태별,이혼/별거,자기개발,2.2
혼인상태별,사별,자기개발,0.4
지역대분류,도심권,자기개발,4.8
지역대분류,동북권,자기개발,3.4
지역대분류,서북권,자기개발,3.1
지역대분류,서남권,자기개발,3.1
지역대분류,동남권,자기개발,3.9
지역소분류,종로구,자기개발,6.2
지역소분류,중구,자기개발,1.8
지역소분류,용산구,자기개발,5.5
지역소분류,성동구,자기개발,8.6
지역소분류,광진구,자기개발,3.9
지역소분류,동대문구,자기개발,3.3
지역소분류,중랑구,자기개발,2.2
지역소분류,성북구,자기개발,4.9
지역소분류,강북구,자기개발,1.7
지역소분류,도봉구,자기개발,1.3
지역소분류,노원구,자기개발,2.4
지역소분류,은평구,자기개발,3.0
지역소분류,서대문구,자기개발,4.2
지역소분류,마포구,자기개발,2.5
지역소분류,양천구,자기개발,1.1
지역소분류,강서구,자기개발,1.7
지역소분류,구로구,자기개발,4.2
지역소분류,금천구,자기개발,1.5
지역소분류,영등포구,자기개발,4.3
지역소분류,동작구,자기개발,4.2
지역소분류,관악구,자기개발,4.7
지역소분류,서초구,자기개발,4.4
지역소분류,강남구,자기개발,5.5
지역소분류,송파구,자기개발,2.3
지역소분류,강동구,자기개발,3.7
서울시,소계,고민없음,2.7
성별,남자,고민없음,3.0
성별,여자,고민없음,2.5
연령별,10대,고민없음,1.0
연령별,20대,고민없음,3.2
